SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160121,464287655,IWM,4106875.0,ISHARES RUSSELL 2000 ETF,99.17
20160121,78464A714,XRT,1513889.0,SPDR SERIES TR SPDR S&P RETAIL,39.29
20160121,808524763,FNDA,17217.0,SCHWAB FUNDAMENTAL U S SMALL C,24.78
20160121,922908611,VBR,16469.0,VANGUARD SMALL-CAP VALUE ETF,87.98
20160121,922908769,VTI,38112.0,VANGUARD TOTAL STOCK MARKET ET,94.42
20160122,36467W109,GME,289.0,GAMESTOP CORP (HLDG CO) CL A,25.29
20160122,464287507,IJH,91.0,ISHARES CORE S&P MID-CAP ETF,125.37
20160122,464287655,IWM,9305817.0,ISHARES RUSSELL 2000 ETF,98.94
20160122,78464A714,XRT,1351375.0,SPDR SERIES TR SPDR S&P RETAIL,39.67
20160122,922908611,VBR,1450.0,VANGUARD SMALL-CAP VALUE ETF,87.95
20160122,922908769,VTI,7661.0,VANGUARD TOTAL STOCK MARKET ET,94.79
20160125,36467W109,GME,1686.0,GAMESTOP CORP (HLDG CO) CL A,25.67
20160125,464287507,IJH,3.0,ISHARES CORE S&P MID-CAP ETF,128.47
20160125,464287622,IWB,43755.0,ISHARES RUSSELL 1000 INDEX ETF,105.44
20160125,464287655,IWM,2678902.0,ISHARES RUSSELL 2000 ETF,101.34
20160125,78464A714,XRT,1110619.0,SPDR SERIES TR SPDR S&P RETAIL,40.37
20160125,922908611,VBR,113371.0,VANGUARD SMALL-CAP VALUE ETF,90.01
20160125,922908769,VTI,67392.0,VANGUARD TOTAL STOCK MARKET ET,96.81
20160126,36467W109,GME,2595.0,GAMESTOP CORP (HLDG CO) CL A,25.06
20160126,464287622,IWB,4861.0,ISHARES RUSSELL 1000 INDEX ETF,103.80
20160126,464287655,IWM,2218341.0,ISHARES RUSSELL 2000 ETF,99.15
20160126,78464A714,XRT,802329.0,SPDR SERIES TR SPDR S&P RETAIL,39.58
20160126,922908611,VBR,9987.0,VANGUARD SMALL-CAP VALUE ETF,87.99
20160126,922908652,VXF,1770.0,VANGUARD EXTENDED MARKET ETF,73.85
20160126,922908769,VTI,98.0,VANGUARD TOTAL STOCK MARKET ET,95.22
20160127,36467W109,GME,599.0,GAMESTOP CORP (HLDG CO) CL A,26.06
20160127,464287507,IJH,5.0,ISHARES CORE S&P MID-CAP ETF,128.65
20160127,464287622,IWB,17789.0,ISHARES RUSSELL 1000 INDEX ETF,105.31
20160127,464287655,IWM,10315.0,ISHARES RUSSELL 2000 ETF,101.08
20160127,78464A714,XRT,153397.0,SPDR SERIES TR SPDR S&P RETAIL,40.51
20160127,808524763,FNDA,90074.0,SCHWAB FUNDAMENTAL U S SMALL C,25.52
20160127,922908611,VBR,28339.0,VANGUARD SMALL-CAP VALUE ETF,90.16
20160127,922908652,VXF,2496.0,VANGUARD EXTENDED MARKET ETF,75.39
20160127,922908769,VTI,2885.0,VANGUARD TOTAL STOCK MARKET ET,96.67
20160128,36467W109,GME,4634.0,GAMESTOP CORP (HLDG CO) CL A,26.15
20160128,464287507,IJH,2754.0,ISHARES CORE S&P MID-CAP ETF,127.38
20160128,464287622,IWB,304.0,ISHARES RUSSELL 1000 INDEX ETF,104.12
20160128,464287655,IWM,95377.0,ISHARES RUSSELL 2000 ETF,99.71
